0,program_name,country
1,Tel Aviv University,Israel
2,Duke in Berlin,Germany
3,"IES Madrid - Engineering, Architecture & Science",Spain
4,Duke in Madrid,Spain
5,Duke in Madrid - Intermediate,Spain
6,SOAS University of London,England
7,UNC - Seville,Spain
8,Trinity College - Dublin,Ireland
9,Hebrew University,Israel
10,King's College,England
11,King's College,Scotland
12,Umbra Institute,Italy
13,University of Queensland,Australia
14,London School of Economics,England
15,University College - Dublin,Ireland
16,Duke in Bologna ,Italy
17,Duke in Glasgow,Scotland
18,University of Melbourne,Australia
19,University of Sydney,Australia
20,University of Hong Kong,China
21,University of New South Wales,Australia
22,New York University - Florence,Italy
23,DIS - Copenhagen,Denmark
24,CES - Maastricht,Netherlands
25,Duke in France,France
26,Duke in Berlin ,Germany
27,ICCS-Rome,Italy
28,Duke in China ,China
29,Duke in Russia ,Russia
30,Duke in Geneva ,Switzerland
31,Georgia Institute of Technology,France
32,Brown University/CASA in Barcelona,Spain
33,Howard University,United States
34,SIT - Morocco - Multiculturalism & Human Rights,Morocco
35,SIT - South Africa - Multiculturalism & Human Rights,South Africa
36,University of Cape Town,South Africa
37,CIEE - Lisbon,Portugal
38,Duke in Los Angeles,United States
39,IES - Buenos Aires,Argentina
40,University College London,England
41,University of Otago,New Zealand
42,University of Edinburgh,Scotland
43,Stony Brook University Field School in the Turkana Basin,Kenya
44,Stony Brook University in Madagascar,Madagascar
45,International Christian University,Japan
46,Temple University - Rome,Italy
47,Arcadia - Granada,Spain
48,"SIT - IHP - Health & Community: Globalization, Culture & Care",Vietnam
49,SIT - IHP - Cities in the 21st Century,Brazil/Argentina
50,"SIT - IHP - Human Rights: Movements, Power, and Resistance",Nepal/Jordan/Chile
51,"SIT - IHP - Climate Change: The Politics of Food, Water, and Energy",Vietnam
52,SIT - Switzerland - Global Health and Development Policy,Switzerland
53,"SIT - Switzerland - Int'l. Studies, Multilateral, Diplomacy, & Social Justice",Switzerland
54,SIT - Chile - Comparative Education and Social Change,Chile
55,"SIT - Chile - Culture Identity, Social Justice, & Community Development",Chile
56,"SIT - Bolivia - Multiculturalism, Globalization, and Social Change",Bolivia
57,"SIT - Jordan - Geopolitics, International Relations, and the Future of the Middle East",Jordan
58,SIT - Argentina - Social Movements and Human Rights,Argentina
59,New York University - Prague,Czech Republic
60,University of Auckland,New Zealand
61,National University Ireland - Galway,Ireland
62,SIT - Morocco - Intensive Arabic Lang. & Moroccan Culture - Summer,Morocco
63,Middlebury in Jordan,Jordan
64,SACI - Florence,Italy
65,IFSA - Butler - Buenos Aires,Argentina
66,Brown in Bologna,Italy
67,SACI - Florence - Summer,Italy
68,University of St. Andrews,Scotland
69,Kyushu University  - Summer,Japan
70,Duke in Paris ,France
71,University of Canterbury,New Zealand
72,University of New South Wales,Argentina
73,University of New South Wales,England
74,CIEE – Barcelona: Economics and Culture,Spain
75,Duke in London - Finance ,United Kingdom
76,Queen Mary,England
77,Spelman College,United States
78,Duke in Alaska ,United States
79,Duke in Australia ,Australia
80,University of Manchester,England
81,University College - Dublin,Spain
82,New York University - Shanghai,China
83,Duke in Silicon Valley ,United States
84,Fairfield in Florence - Summer,Italy
85,James Cook University,Australia
86,International Christian University - Summer,Japan
87,Nanzan University,Japan
88,Duke in New York Arts and Media Fall,United States
89,University of Glasgow,Scotland
90,National University of Singapore,Singapore
91,Duke in Oxford ,United Kingdom
92,Syracuse - Strasbourg,France
93,Duke in St. Petersburg,Russia
94,SIT - Tanzania - Zanzibar - Coastal Ecology & Natural Resource Mgt.,Tanzania
95,New York University - Florence - Summer,Italy
96,National University Ireland - Galway,Singapore
97,University of Limerick,Ireland
98,IES - Buenos Aires,Spain
99,University College - Dublin,NA
100,University College - Dublin,France
101,University College London,Ireland
102,University of Edinburgh,England
103,Duke in Mexico ,Mexico
104,SIT - Madagascar - Biodiversity & Natural Resource Management,Madagascar
105,SIT - Ecuador - Comparative Ecology and Conservation,Ecuador
106,SIT - Australia - Rainforest and Reef Ecology,Australia
107,Brown in Bologna,Spain
108,Duke in Madrid - Intermediate,China
109,University of Hong Kong,Japan
110,Duke in Chicago - Finance ,United States
111,Duke in Sri Lanka,Sri Lanka
112,Temple University - Rome,England
113,Duke in Venice ,semester
114,Budapest Semesters in Mathematics,Hungary
115,Duke in Brazil ,Brazil
116,Duke in Alicante ,Spain
117,Duke in Aix-en-Provence ,France
118,SIT - Argentina - Public Health in Urban Environments,Argentina
119,"SIT - Chile - Public Health, Traditional Medicine, & Community Empowerment",Chile
120,Temple University - Rome,Spain
121,University of Hong Kong,Spain
122,Princeton in Ishikawa - Summer,Japan
123,Duke in Chile ,Chile
124,Duke in Costa Rica ,Costa Rica
125,Duke in Spain ,Spain
126,Duke in Montreal,Canada
127,Duke Pratt in Costa Rica,Costa Rica
128,CIEE - Ghana Arts & Sciences,Ghana
129,Duke Middle East in Europe ,Middle East
130,Duke in the Arab World ,Middle East
131,Duke in Rome ,Italy
132,University College - Dublin,England
133,School for Field Studies - Turks & Caicos Islands,British West Indies
134,Duke in Los Angeles,Spain
135,SIT - Chile - Comparative Education and Social Change,Spain
136,Duke in Chicago Arts Entrepreneurship ,United States
137,Duke in Greece ,Greece
138,Duke in Cuba ,Cuba
139,Duke in London - Drama ,United Kingdom
140,University of Michigan Shanghai Jiao Tong University Joint Institute,China
